"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"7950000US3603810","NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York","155694","3057","144532","3182","111757","2987","3703","637","95","103","23635","1514","22","28","656","283","4664","590","159","91","4505","575","11162","1109","8511","1055","248","133","124","165","182","121","0","28","1384","443","713","298","306","151","407","248"
"7950000US3603903","NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York","171983","2727","122055","2216","64413","1775","37848","1326","98","64","15675","982","2","4","618","283","3401","583","259","127","3142","543","49928","1867","32921","1856","3699","900","399","256","279","199","26","30","10509","1388","2095","412","911","253","1184","352"
"7950000US3604001","NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York","162743","3165","125040","2756","103347","2476","6237","832","260","154","11149","838","67","62","438","182","3542","449","173","100","3369","446","37703","1938","17445","1440","3993","1145","494","366","87","82","0","28","13207","1319","2477","489","1542","429","935","270"
"7950000US3604002","NYC-Brooklyn Community District 4--Bushwick PUMA, New York","129193","2570","57847","2208","24665","1182","23600","1750","183","122","6294","754","12","19","788","308","2305","471","460","338","1845","332","71346","2241","21319","2010","7595","1417","774","311","83","75","48","47","38917","2740","2610","525","1480","370","1130","366"
"7950000US3604003","NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York","149313","3253","122061","2803","41123","1805","72225","2276","297","177","5158","764","7","12","79","49","3172","493","54","38","3118","488","27252","1681","7896","986","4434","700","490","315","50","36","94","130","11650","1227","2638","586","726","238","1912","538"
"7950000US3604004","NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York","142235","2204","122510","2159","68049","1629","34097","1728","188","147","13533","983","63","58","883","371","5697","644","332","140","5365","624","19725","1407","8628","870","2291","531","217","221","58","40","9","13","6915","986","1607","464","866","412","741","232"
"7950000US3604005","NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York","117784","2381","100511","2258","75931","1993","9491","978","84","79","8665","763","321","379","965","335","5054","606","177","159","4877","567","17273","1223","9593","1036","1378","354","253","171","179","67","0","28","4421","723","1449","422","418","147","1031","390"
"7950000US3604006","NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York","134083","2567","116693","2522","33097","1327","73329","1906","128","95","5154","648","17","27","573","257","4395","672","221","174","4174","662","17390","1225","3959","619","4969","821","92","96","119","110","14","24","6881","959","1356","440","643","255","713","364"
"7950000US3604007","NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York","116334","2792","90154","2582","3667","588","83021","2444","180","109","1484","498","43","57","635","314","1124","325","54","36","1070","328","26180","1647","7205","1045","6726","1001","107","85","104","79","6","10","10155","1260","1877","565","637","246","1240","510"
"7950000US3604008","NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York","161273","3447","101072","2890","6544","705","83717","2577","120","82","7369","1100","67","93","1490","556","1765","427","418","227","1347","371","60201","2408","31249","1931","8363","1217","395","242","14","22","61","95","18332","1670","1787","446","857","294","930","267"
"7950000US3604009","NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York","205631","2979","187388","2974","45875","1768","127570","2667","198","114","10360","978","0","28","1017","327","2368","412","396","185","1972","398","18243","1543","5620","722","4087","785","216","229","150","85","11","24","7442","1201","717","240","364","137","353","181"
