YEAR,TRIFD,3. FRS ID,Facility Name,Street Address,City,County,State,Zip,10. BIA,11. TRIBE,Latitude,Longitude,Industry Sector
2019,11232GWNSG29THS,1.1001E+11,GOWANUS GENERATING STATION,29TH ST & 2ND AVE,BROOKLYN,KINGS,NY,11232,,,40.661583,-74.005667,Electric Utilities
2019,11232GWNSG29THS,1.1001E+11,GOWANUS GENERATING STATION,29TH ST & 2ND AVE,BROOKLYN,KINGS,NY,11232,,,40.661583,-74.005667,Electric Utilities
2019,10001GDNNWJFKIN,1.10001E+11,ALLIED NEW YORK SERVICES  INC,J.F.K. INTERNATIONAL AIRPORT BUILDING # 90,JAMAICA,QUEENS,NY,11430,,,40.6475,-73.78675,Petroleum Bulk Terminals
2019,10001GDNNWJFKIN,1.10001E+11,ALLIED NEW YORK SERVICES  INC,J.F.K. INTERNATIONAL AIRPORT BUILDING # 90,JAMAICA,QUEENS,NY,11430,,,40.6475,-73.78675,Petroleum Bulk Terminals
2019,11235SCNTF13NEP,1.10004E+11,SCIENTIFIC COMPONENTS CORP,13 NEPTUNE AVE,BROOKLYN,KINGS,NY,11235,,,40.582996,-73.954742,Computers and Electronic Products
2019,1121WSCKNG692MC,1.1007E+11,USC - KINGS LLC - MCDONALD AVENUE,692 MCDONALD AVE,BROOKLYN,KINGS,NY,11218,,,40.63702,-73.97837,Nonmetallic Mineral Product
2019,1121WSCKNG692MC,1.1007E+11,USC - KINGS LLC - MCDONALD AVENUE,692 MCDONALD AVE,BROOKLYN,KINGS,NY,11218,,,40.63702,-73.97837,Nonmetallic Mineral Product
2019,11103PLTPR24134,1.1E+11,PILOT PRODUCTS INC,24-13 46TH ST,LONG ISLAND CITY,QUEENS,NY,11103,,,40.766739,-73.906086,Plastics and Rubber
2019,11103PLTPR24134,1.1E+11,PILOT PRODUCTS INC,24-13 46TH ST,LONG ISLAND CITY,QUEENS,NY,11103,,,40.766739,-73.906086,Plastics and Rubber
2019,11103PLTPR24134,1.1E+11,PILOT PRODUCTS INC,24-13 46TH ST,LONG ISLAND CITY,QUEENS,NY,11103,,,40.766739,-73.906086,Plastics and Rubber
2019,10472JNNCN1465B,1.10021E+11,USC - JENNA LLC,1465 BRONX RIVER AVE,BRONX,BRONX,NY,10472,,,40.835771,-73.877738,Nonmetallic Mineral Product
2019,10472JNNCN1465B,1.10021E+11,USC - JENNA LLC,1465 BRONX RIVER AVE,BRONX,BRONX,NY,10472,,,40.835771,-73.877738,Nonmetallic Mineral Product
2019,11105STRGN18012,1.10002E+11,ASTORIA GENERATING STATION,18-01 20TH AVE,ASTORIA,QUEENS,NY,11105,,,40.7874,-73.9128,Electric Utilities
2019,11105STRGN18012,1.10002E+11,ASTORIA GENERATING STATION,18-01 20TH AVE,ASTORIA,QUEENS,NY,11105,,,40.7874,-73.9128,Electric Utilities
2019,10461FRDMS1400F,1.1E+11,FRED M SCHILDWACHTER & SONS INC,1400 FERRIS PL,BRONX,BRONX,NY,10461,,,40.83902,-73.84103,Petroleum Bulk Terminals
2019,10461FRDMS1400F,1.1E+11,FRED M SCHILDWACHTER & SONS INC,1400 FERRIS PL,BRONX,BRONX,NY,10461,,,40.83902,-73.84103,Petroleum Bulk Terminals
2019,10461FRDMS1400F,1.1E+11,FRED M SCHILDWACHTER & SONS INC,1400 FERRIS PL,BRONX,BRONX,NY,10461,,,40.83902,-73.84103,Petroleum Bulk Terminals
2019,10461FRDMS1400F,1.1E+11,FRED M SCHILDWACHTER & SONS INC,1400 FERRIS PL,BRONX,BRONX,NY,10461,,,40.83902,-73.84103,Petroleum Bulk Terminals
2019,10461FRDMS1400F,1.1E+11,FRED M SCHILDWACHTER & SONS INC,1400 FERRIS PL,BRONX,BRONX,NY,10461,,,40.83902,-73.84103,Petroleum Bulk Terminals
2019,10461FRDMS1400F,1.1E+11,FRED M SCHILDWACHTER & SONS INC,1400 FERRIS PL,BRONX,BRONX,NY,10461,,,40.83902,-73.84103,Petroleum Bulk Terminals
2019,10314VSYPP4435V,1.10002E+11,PRATT PAPER (NY) INC,4435 VICTORY BLVD,STATEN ISLAND,RICHMOND,NY,10314,,,40.58629,-74.20061,Paper
2019,1137WFRRRB56224,1.10069E+11,USC - FERRARA BROTHERS LLC - MASPETH,56-22 49TH ST,MASPETH,QUEENS,NY,11378,,,40.72591,-73.91948,Nonmetallic Mineral Product
2019,1137WFRRRB56224,1.10069E+11,USC - FERRARA BROTHERS LLC - MASPETH,56-22 49TH ST,MASPETH,QUEENS,NY,11378,,,40.72591,-73.91948,Nonmetallic Mineral Product
2019,11105CSTLS1710S,1.10004E+11,ASTORIA ENERGY POWER GENERATION  FACILITY,17-10 STEINWAY ST,ASTORIA,QUEENS,NY,11105,,,40.77966,-73.89774,Electric Utilities
2019,11105CSTLS1710S,1.10004E+11,ASTORIA ENERGY POWER GENERATION  FACILITY,17-10 STEINWAY ST,ASTORIA,QUEENS,NY,11105,,,40.77966,-73.89774,Electric Utilities
2019,11105CSTLS1710S,1.10004E+11,ASTORIA ENERGY POWER GENERATION  FACILITY,17-10 STEINWAY ST,ASTORIA,QUEENS,NY,11105,,,40.77966,-73.89774,Electric Utilities
2019,11105NWYRK31032,1.1E+11,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,31-03 20TH AVE,ASTORIA,QUEENS,NY,11105,,,40.77932,-73.905725,Electric Utilities
2019,11105NWYRK31032,1.1E+11,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,31-03 20TH AVE,ASTORIA,QUEENS,NY,11105,,,40.77932,-73.905725,Electric Utilities
2019,11105NWYRK31032,1.1E+11,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,31-03 20TH AVE,ASTORIA,QUEENS,NY,11105,,,40.77932,-73.905725,Electric Utilities
