1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. CAS #/COMPOUND ID,37. SRS ID,38. CLEAN AIR ACT CHEMICAL,39. CLASSIFICATION,40. METAL,41. METAL CATEGORY,42. CARCINOGEN,43. FORM TYPE,44. UNIT OF MEASURE,45. 5.1 - FUGITIVE AIR,46. 5.2 - STACK AIR,47. 5.3 - WATER,48. 5.4 - UNDERGROUND,49. 5.4.1 - UNDERGROUND CL I,50. 5.4.2 - UNDERGROUND C II-V,51. 5.5.1 - LANDFILLS,52. 5.5.1A - RCRA C LANDFILL,53. 5.5.1B - OTHER LANDFILLS,54. 5.5.2 - LAND TREATMENT,55. 5.5.3 - SURFACE IMPNDMNT,56. 5.5.3A - RCRA SURFACE IM,57. 5.5.3B - OTHER SURFACE I,58. 5.5.4 - OTHER DISPOSAL,59. ON-SITE RELEASE TOTAL,60. 6.1 - POTW - TRNS RLSE,61. 6.1 - POTW - TRNS TRT,62. POTW - TOTAL TRANSFERS,63. 6.2 - M10,64. 6.2 - M41,65. 6.2 - M62,66. 6.2 - M40 METAL,67. 6.2 - M61 METAL,68. 6.2 - M71,69. 6.2 - M81,70. 6.2 - M82,71. 6.2 - M72,72. 6.2 - M63,73. 6.2 - M66,74. 6.2 - M67,75. 6.2 - M64,76. 6.2 - M65,77. 6.2 - M73,78. 6.2 - M79,79. 6.2 - M90,80. 6.2 - M94,81. 6.2 - M99,82. OFF-SITE RELEASE TOTAL,83. 6.2 - M20,84. 6.2 - M24,85. 6.2 - M26,86. 6.2 - M28,87 6.2 - M93,88. OFF-SITE RECYCLED TOTAL,89. 6.2 - M56,90. 6.2 - M92,91. OFF-SITE ENERGY RECOVERY T,92. 6.2 - M40 NON-METAL,93. 6.2 - M50,94. 6.2 - M54,95. 6.2 - M61 NON-METAL,96. 6.2 - M69,97. 6.2 - M95,98. OFF-SITE TREATED TOTAL,99. 6.2 - UNCLASSIFIED,100. 6.2 - TOTAL TRANSFER,101. TOTAL RELEASES,102. 8.1 - RELEASES,103. 8.1A - ON-SITE CONTAINED,104. 8.1B - ON-SITE OTHER ,105. 8.1C - OFF-SITE CONTAIN,106. 8.1D - OFF-SITE OTHER R,107. 8.2 - ENERGY RECOVER ON,108. 8.3 - ENERGY RECOVER OF,109. 8.4 - RECYCLING ON SITE,110. 8.5 - RECYCLING OFF SIT,111. 8.6 - TREATMENT ON SITE,112. 8.7 - TREATMENT OFF SITE,113. PRODUCTION WSTE (8.1-8.7),114. 8.8 - ONE-TIME RELEASE,115. PROD_RATIO_OR_ ACTIVITY,116. 8.9 - PRODUCTION RATIO
2019,14456GRDNN50FOR,1.10005E+11,GUARDIAN INDUSTRIES - GENEVA,50 FORGE AVE,GENEVA,ONTARIO,NY,14456,,,42.88261,-76.97223,NAD83,KOCH INDUSTRIES INC,6944334,KOCH INDUSTRIES INC,NO,327,Nonmetallic Mineral Product,,,,,,,327211,327215,,,,,1.31922E+12,AMMONIA,NO,7664417,152389,NO,TRI,NO,0,NO,R,Pounds,0,54040.8,0,0,0,0,0,0,0,0,0,0,0,0,54040.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54040.8,0,0,54040.8,0,0,0,0,0,0,0,0,54040.8,,PRODUCTION,1.36
2019,14456GRDNN50FOR,1.10005E+11,GUARDIAN INDUSTRIES - GENEVA,50 FORGE AVE,GENEVA,ONTARIO,NY,14456,,,42.88261,-76.97223,NAD83,KOCH INDUSTRIES INC,6944334,KOCH INDUSTRIES INC,NO,327,Nonmetallic Mineral Product,,,,,,,327211,327215,,,,,1.31922E+12,LEAD COMPOUNDS,NO,N420,650002,YES,PBT,YES,1,NO,R,Pounds,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0.46,1.187,0,1.187,0,0,0,0,0,0,0,0,0,0,0,0,5.179,0,0,0,0,0,0,6.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.179,6.826,0,0,0.46,5.179,1.187,0,0,0,0,0,0,6.826,,PRODUCTION,1.36
2019,13815SMMNDNORWI,1.10001E+11,UNISON INDUSTRIES,5345 STATE HWY 12,NORWICH,CHENANGO,NY,13815,,,42.495277,-75.532569,NAD83,GENERAL ELECTRIC CO (GE CO),1367960,GENERAL ELECTRIC CO (GE CO),NO,336,Transportation Equipment,,,,,,,336412,,,,,,1.31922E+12,COPPER,NO,7440508,150086,NO,TRI,YES,1,NO,R,Pounds,3,540,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,24,0,2200,0,0,0,2200,0,0,0,0,0,0,0,0,0,0,0,2224,567,0,0,540,1,23,0,0,0,2200,0,0,2764,,PRODUCTION,1.36
2019,14760HYSLL211FR,1.1E+11,SOLEPOXY INC,211 FRANKLIN STREET,OLEAN,CATTARAUGUS,NY,14760,,,42.094861,-78.439994,NAD83,NA,,NA,NO,325,Chemicals,,,,,,,325991,,,,,,1.31922E+12,TETRABROMOBISPHENOL A,NO,79947,8045,NO,PBT,NO,0,NO,R,Pounds,0.9,9,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,331.65,0,0,0,0,0,0,331.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,341.65,341.55,0,0,9.9,331.65,0,0,0,0,0,0,10,351.55,,ACTIVITY,0.94
2019,14760HYSLL211FR,1.1E+11,SOLEPOXY INC,211 FRANKLIN STREET,OLEAN,CATTARAUGUS,NY,14760,,,42.094861,-78.439994,NAD83,NA,,NA,NO,325,Chemicals,,,,,,,325991,,,,,,1.31922E+12,HEXACHLOROBENZENE,NO,118741,30346,YES,PBT,NO,0,YES,R,Pounds,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0062,0.0038,0.01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,3.0038,3.0362,0,0,0.03,3.006,0.0002,0,0,0,0,0,0.0038,3.04,,PRODUCTION,0.95
2019,14094LLGHN695OH,1.1E+11,ATI SPECIALTY MATERIALS-LOCKPORT PLANT,695 OHIO ST,LOCKPORT,NIAGARA,NY,14094,,,43.15664,-78.71152,NAD83,ALLEGHENY TECHNOLOGIES INC,949262737,ALLEGHENY TECHNOLOGIES INC,NO,331,Primary Metals,,,,,,,331492,,,,,,1.31922E+12,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,N090,649475,YES,TRI,YES,1,NO,R,Pounds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,PRODUCTION,1
2019,14094LLGHN695OH,1.1E+11,ATI SPECIALTY MATERIALS-LOCKPORT PLANT,695 OHIO ST,LOCKPORT,NIAGARA,NY,14094,,,43.15664,-78.71152,NAD83,ALLEGHENY TECHNOLOGIES INC,949262737,ALLEGHENY TECHNOLOGIES INC,NO,331,Primary Metals,,,,,,,331492,,,,,,1.31922E+12,NICKEL  and NICKEL COMPOUNDS,YES,N495,650036,YES,TRI,YES,1,YES,R,Pounds,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,,PRODUCTION,1
2019,14150CRBRN168CR,1.1E+11,SAINT GOBAIN CORP CERAMIC MATERIALS,168 CREEKSIDE DR,AMHERST,ERIE,NY,14228,,,43.031667,-78.815,NAD83,SAINT-GOBAIN CORP,NA,SAINT-GOBAIN NA,NO,325,Chemicals,,,,,,,325180,,,,,,1.31922E+12,AMMONIA,NO,7664417,152389,NO,TRI,NO,0,NO,R,Pounds,8603,1932,0,0,0,0,0,0,0,0,0,0,0,0,10535,12555,0,12555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23090,0,0,10535,0,12555,0,0,0,0,94684,0,117774,,PRODUCTION,0.8
2019,1413WMTLLC24CRY,1.10001E+11,METAULLICS SYSTEMS A DIV OF PYROTEK-INC,2040 CORY DR,SANBORN,NIAGARA,NY,14132,,,43.13083,-78.94039,NAD83,PYROTEK INC,NA,PYROTEK INC,NO,335,Electrical Equipment,,,,,,,335991,,,,,,1.31922E+12,TETRACHLOROETHYLENE,NO,127184,34157,YES,TRI,NO,0,YES,R,Pounds,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,1.8,0.2,0,0,0.2,0,0,0,0,0,1.8,1287.9,0,1289.9,,ACTIVITY,1
2019,1413WMTLLC24CRY,1.10001E+11,METAULLICS SYSTEMS A DIV OF PYROTEK-INC,2040 CORY DR,SANBORN,NIAGARA,NY,14132,,,43.13083,-78.94039,NAD83,PYROTEK INC,NA,PYROTEK INC,NO,335,Electrical Equipment,,,,,,,335991,,,,,,1.31922E+12,POLYCYCLIC AROMATIC COMPOUNDS,NO,N590,649749,YES,PBT,NO,0,YES,R,Pounds,0,134.24,0,0,0,0,0,0,0,0,0,0,0,0,134.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.24,0,0,134.24,0,0,0,0,760,0,13289.46,0,14183.7,,ACTIVITY,1.31
